frame_index,pts_ms,timecode,keypoint,x,y
47,1533,00:00:01.533,elbow,586.0797500610352,512.5393080711365
47,1533,00:00:01.533,wrist,739.1865921020508,594.6371126174927
47,1533,00:00:01.533,hand,787.2635650634766,607.6178026199341
47,1533,00:00:01.533,hip,470.9074115753174,644.8106646537781
47,1533,00:00:01.533,knee,764.8345184326172,665.1388263702393
47,1533,00:00:01.533,ankle,1021.0022735595703,782.6759719848633
48,1567,00:00:01.567,ear,591.2506484985352,183.52777540683746
48,1567,00:00:01.567,shoulder,518.3502388000488,324.85292315483093
48,1567,00:00:01.567,elbow,607.6338958740234,507.1098303794861
48,1567,00:00:01.567,wrist,759.4539642333984,597.8146934509277
48,1567,00:00:01.567,hand,808.286190032959,617.5623393058777
48,1567,00:00:01.567,hip,472.84114837646484,645.0460124015808
48,1567,00:00:01.567,knee,773.78173828125,639.4231581687927
48,1567,00:00:01.567,ankle,1017.0477676391602,784.5295929908752
49,1600,00:00:01.600,ear,593.5906791687012,183.61212015151978
49,1600,00:00:01.600,shoulder,523.359317779541,324.1907501220703
49,1600,00:00:01.600,elbow,610.6985664367676,506.1630964279175
49,1600,00:00:01.600,wrist,758.8995552062988,603.0996537208557
49,1600,00:00:01.600,hand,805.3255462646484,618.935866355896
49,1600,00:00:01.600,hip,472.50234603881836,644.6482515335083
49,1600,00:00:01.600,knee,774.6428489685059,630.7517266273499
49,1600,00:00:01.600,ankle,1017.4519729614258,787.2664761543274
50,1633,00:00:01.633,ear,613.494987487793,184.384805560112
50,1633,00:00:01.633,shoulder,551.2657356262207,324.04008507728577
50,1633,00:00:01.633,elbow,637.1729278564453,506.4829659461975
50,1633,00:00:01.633,wrist,787.4386596679688,609.5195746421814
50,1633,00:00:01.633,hand,836.1092948913574,628.8251066207886
50,1633,00:00:01.633,hip,476.3584327697754,644.7358632087708
50,1633,00:00:01.633,knee,781.6582489013672,614.3095064163208
50,1633,00:00:01.633,ankle,1018.8126754760742,787.00434923172
51,1667,00:00:01.667,ear,638.4730911254883,187.3964810371399
51,1667,00:00:01.667,shoulder,575.3909683227539,325.1849913597107
51,1667,00:00:01.667,elbow,679.1828727722168,508.34646821022034
51,1667,00:00:01.667,wrist,806.8128776550293,612.451765537262
51,1667,00:00:01.667,hand,851.9997024536133,631.7683696746826
51,1667,00:00:01.667,hip,483.8983726501465,645.2722191810608
51,1667,00:00:01.667,knee,791.0276985168457,609.0506815910339
51,1667,00:00:01.667,ankle,1019.4512557983398,793.0353283882141
52,1700,00:00:01.700,ear,666.427059173584,192.0286989212036
52,1700,00:00:01.700,shoulder,596.8889808654785,327.1732807159424
52,1700,00:00:01.700,elbow,717.0968627929688,507.2617185115814
52,1700,00:00:01.700,wrist,836.3816070556641,609.103274345398
52,1700,00:00:01.700,hand,888.9975929260254,631.9550514221191
52,1700,00:00:01.700,hip,498.6116409301758,646.6552090644836
52,1700,00:00:01.700,knee,804.4967079162598,589.4846320152283
52,1700,00:00:01.700,ankle,1024.1243362426758,794.4418144226074
53,1733,00:00:01.733,ear,689.5916748046875,196.8549531698227
53,1733,00:00:01.733,shoulder,628.2069969177246,328.50634932518005
53,1733,00:00:01.733,elbow,753.3652496337891,507.40350008010864
53,1733,00:00:01.733,wrist,867.6873207092285,608.8616180419922
53,1733,00:00:01.733,hand,916.2518692016602,633.9960622787476
53,1733,00:00:01.733,hip,521.6400146484375,646.744236946106
53,1733,00:00:01.733,knee,824.0393829345703,578.0945348739624
53,1733,00:00:01.733,ankle,1029.920654296875,792.6629948616028
54,1767,00:00:01.767,ear,715.6099891662598,200.37055671215057
54,1767,00:00:01.767,shoulder,651.8124961853027,329.01570081710815
54,1767,00:00:01.767,elbow,774.9003410339355,505.16290068626404
54,1767,00:00:01.767,wrist,885.0139045715332,606.5289330482483
54,1767,00:00:01.767,hand,936.3856315612793,629.4767546653748
54,1767,00:00:01.767,hip,540.5148696899414,647.6914858818054
